Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL
1825,78758,UT Austin,6.02 miles,"9127 Research Blvd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/presidium-waterford/C8g9Qn/
1450,78748,UT Austin,10.03 miles,"10400 Old Manchaca Rd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/casata-austin/9LSmLB/
1382,78744,UT Austin,7.63 miles,"7301 S Interstate Highway 35 Svrd Nb, Austin, TX",1,1,,,zillow.com/b/the-bennett-austin-tx-CbCdZW/
1952,78759,UT Austin,7.38 miles,"10801 N Mopac Expy, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/alexan-braker-pointe/9T5kw7/
1425,78724,UT Austin,9.22 miles,"10346 Blue Bluff Rd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/citizen-house-blue-bluff/CZ8s5f/
1554,78744,UT Austin,5.6 miles,"7205 E Ben White Blvd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/veranda/CHvW64/
1574,78745,UT Austin,8.29 miles,"8200 S Congress Ave, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/the-prescott/9T5g69/
1451,78744,UT Austin,6.45 miles,"Stassney at SoCo, 1800 E Stassney Ln #3330, Austin, TX 78744",1,1,718,1279,zillow.com/apartments/austin-tx/stassney-at-soco/5Xht9z/
1641,78717,UT Austin,13.21 miles,"13460 Lyndhurst St, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/the-asher/CFXVxp/
1304,78727,UT Austin,10.19 miles,"5400 W Parmer Ln, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/stone-oak-at-parmer/5Xht5w/
1535,78738,UT Austin,16.68 miles,"5511 Caprock Summit Dr, Austin, TX",1,1,,,zillow.com/b/the-artesian-at-bee-cave-bee-cave-tx-CCr5fd/
1708,78735,UT Austin,8.04 miles,"2716 Barton Creek Blvd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/barton-creek-villas/5Xht8S/
1775,78741,UT Austin,3.31 miles,"1400 Royal Crest Dr, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/alexan-riverside/C8TPsD/
1575,78739,UT Austin,12.39 miles,"12100 Archeleta Blvd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/arborview-circle-c-ranch-62%2b/Bs69Tb/
1233,,UT Austin,8.24 miles,"8001 Interstate Hwy, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/ethos-apartments/C4S3k9/
1490,78752,UT Austin,2.99 miles,"112 Will Davis Dr, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/revolve-atx/CGCBsH/
2080,78704,UT Austin,3.09 miles,"1515 S Lamar Blvd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/fifteen15-s-lamar-apartments/5hsXWD/
1209,78758,UT Austin,5.97 miles,"1070 Mearns Meadow Blvd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/the-vibe/5XhsyJ/
1386,78735,UT Austin,7.61 miles,"5313 Vega Ave, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/the-markson-austin/BzsWrB/
1110,78729,UT Austin,10.93 miles,"8519 Cahill Dr, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/polo-club/5Xht8f/
1775,78746,UT Austin,5.43 miles,"4700 N Capital Of Texas Hwy, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/nalle-woods-of-westlake/9T5gFT/
2249,78701,UT Austin,1.82 miles,"110 San Antonio St, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/northshore-austin/65dF7Z/
1199,78753,UT Austin,9.16 miles,"12800 Center Lake Dr, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/the-bridge-at-tech-ridge/5Xht2r/
1030,78741,UT Austin,4.2 miles,"2336 Douglas St, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/chandelier/5XhsyS/
1295,78741,UT Austin,3.91 miles,"2101 Burton Dr, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/array/5Xht6V/
1314,78745,UT Austin,5.44 miles,"122 Sheraton Ave, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/prospect/CCBVCd/
1702,78741,UT Austin,4.88 miles,"6400 E Riverside Dr, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/urban-east/9T5f32/
1214,78744,UT Austin,7.22 miles,"4506 E William Cannon Dr, Austin, TX",1,1,,,zillow.com/b/bridges-at-canyon-view-austin-tx-65bVvZ/
1550,78652,UT Austin,12.14 miles,"827 Camino Vaquero Pkwy, Austin, TX",1,1,,,zillow.com/b/view-at-estancia-austin-tx-CCCv7q/
1550,78744,UT Austin,7.29 miles,"7733 Burleson Rd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/citizen-house-bergstrom/BsX3t6/
1755,78758,UT Austin,6.71 miles,"10300 Metropolitan Dr, Austin, TX",1,1,,,zillow.com/b/the-bond-austin-tx-9LTFhc/
1346,78753,UT Austin,10.12 miles,"1501 W Howard Ln, Austin, TX",1,1,,,zillow.com/b/the-kelsey-at-scofield-farms-austin-tx-CCYKJB/
1064,78753,UT Austin,10.12 miles,"1501 E Howard Ln, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/bridge-at-harris-ridge/BKhm4Q/
1145,78741,UT Austin,3.73 miles,"1700 Willow Creek Dr, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/the-sondery/9LSPXN/
2119,78723,UT Austin,2.33 miles,"1414 E 51st St, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/solomon/9T5bqM/
1125,78753,UT Austin,5.38 miles,"8926 N Lamar Blvd, Austin, TX",1,1,,,zillow.com/apartments/austin-tx/aubry-hills-apartments/5XhsxZ/
