Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL
2175,78753,UT Austin,9.71 miles,"1201 Weatherford Dr, Austin, TX 78753",2,4,1973,2320,zillow.com/homedetails/1201-Weatherford-Dr-Austin-TX-78753/29438748_zpid/
2650,78705,UT Austin,0.72 miles,"Avon@22nd, 911 W 22nd St #404, Austin, TX 78705",2,4,1450,2299,zillow.com/b/avon%4022nd-austin-tx-5XjfKz/
2300,78727,UT Austin,9.23 miles,"4617 Hawkhaven Ln, Austin, TX 78727",2,4,1989,2749,zillow.com/homedetails/4617-Hawkhaven-Ln-Austin-TX-78727/29442258_zpid/
2995,78705,UT Austin,0.55 miles,"713 Graham Pl, Austin, TX 78705",2,4,1942,4294,zillow.com/homedetails/713-Graham-Pl-Austin-TX-78705/29393840_zpid/
2900,78702,UT Austin,1.99 miles,"115 Waller St #B, Austin, TX 78702",2,4,1350,3403,zillow.com/homedetails/115-Waller-St-B-Austin-TX-78702/2057663987_zpid/
4500,78754,UT Austin,6.73 miles,"2301 Tucker Ln, Austin, TX 78754",2,4,1855,,zillow.com/homedetails/2301-Tucker-Ln-Austin-TX-78754/2055067894_zpid/
3100,78751,UT Austin,2.19 miles,"5212 Guadalupe St #2, Austin, TX 78751",2,4,1500,3364,zillow.com/homedetails/5212-Guadalupe-St-2-Austin-TX-78751/2082244373_zpid/
3600,78705,UT Austin,0.75 miles,"1023 W 24th St APT 902, Austin, TX 78705",2,4,1425,2895,zillow.com/homedetails/1023-W-24th-St-APT-902-Austin-TX-78705/2096812697_zpid/
3195,78751,UT Austin,2.26 miles,"706 W North Loop Blvd #B, Austin, TX 78751",2,4,1400,2214,zillow.com/homedetails/706-W-North-Loop-Blvd-B-Austin-TX-78751/2098181968_zpid/
2195,78741,UT Austin,4.23 miles,"6301 Crumley Ln, Austin, TX 78741",2,4,1408,2477,zillow.com/homedetails/6301-Crumley-Ln-Austin-TX-78741/29460852_zpid/
3995,78758,UT Austin,7.3 miles,"11500 Sterlinghill Dr, Austin, TX 78758",2,4,1730,2500,zillow.com/homedetails/11500-Sterlinghill-Dr-Austin-TX-78758/58304018_zpid/
3400,78756,UT Austin,2.52 miles,"5414 Grover Ave, Austin, TX 78756",2,4,1571,2516,zillow.com/homedetails/5414-Grover-Ave-Austin-TX-78756/2117967148_zpid/
2600,78727,UT Austin,8.77 miles,"11903 Misty Brook Dr, Austin, TX 78727",2,4,1923,2592,zillow.com/homedetails/11903-Misty-Brook-Dr-Austin-TX-78727/58305616_zpid/
2750,78724,UT Austin,5.52 miles,"6704 Sandshof Cir, Austin, TX 78724",2,4,,1434,zillow.com/homedetails/6704-Sandshof-Cir-Austin-TX-78724/29401072_zpid/
3950,78748,UT Austin,10.71 miles,"611 Kingfisher Creek Dr, Austin, TX 78748",2,4,2378,2189,zillow.com/homedetails/611-Kingfisher-Creek-Dr-Austin-TX-78748/29515206_zpid/
3100,78756,UT Austin,2.28 miles,"1506A North St, Austin, TX 78756",2,4,1550,2666,zillow.com/homedetails/1506A-North-St-Austin-TX-78756/2060572242_zpid/
3400,78751,UT Austin,1.92 miles,"5101B Guadalupe St W, Austin, TX 78751",2,4,1728,2825,zillow.com/homedetails/5101B-Guadalupe-St-W-Austin-TX-78751/2060572604_zpid/
2345,78727,UT Austin,10.16 miles,"2409 Lou John St, Austin, TX 78727",2,4,2152,2535,zillow.com/homedetails/2409-Lou-John-St-Austin-TX-78727/64773988_zpid/
2895,78733,UT Austin,8.51 miles,"2209 Bahama Rd, Austin, TX 78733",2,4,1665,3410,zillow.com/homedetails/2209-Bahama-Rd-Austin-TX-78733/29346731_zpid/
2350,78744,UT Austin,7.73 miles,"4708 Blue Meadow Dr, Austin, TX 78744",2,4,1250,2034,zillow.com/homedetails/4708-Blue-Meadow-Dr-Austin-TX-78744/64746530_zpid/
4995,78759,UT Austin,9.11 miles,"10304 D K Ranch Rd, Austin, TX 78759",2,4,2166,3795,zillow.com/homedetails/10304-D-K-Ranch-Rd-Austin-TX-78759/2127624541_zpid/
2995,78717,UT Austin,14.7 miles,"14501 Templemore Cv, Austin, TX 78717",2,4,2222,2450,zillow.com/homedetails/14501-Templemore-Cv-Austin-TX-78717/58267801_zpid/
2850,78724,UT Austin,6.52 miles,"7416 Sagira Path, Austin, TX 78724",2,4,1859,1779,zillow.com/homedetails/7416-Sagira-Path-Austin-TX-78724/2067410795_zpid/
5400,78705,UT Austin,0.21 miles,"607 Elmwood Pl, Austin, TX 78705",2,4,1645,7698,zillow.com/homedetails/607-Elmwood-Pl-Austin-TX-78705/29395819_zpid/
3995,78702,UT Austin,1.88 miles,"2919 E 16th St, Austin, TX 78702",2,4,1396,2862,zillow.com/homedetails/2919-E-16th-St-Austin-TX-78702/29389848_zpid/
3200,78723,UT Austin,4.43 miles,"5106 Loyola Ln, Austin, TX 78723",2,4,1690,2529,zillow.com/homedetails/5106-Loyola-Ln-Austin-TX-78723/29402687_zpid/
3990,78745,UT Austin,7.74 miles,"7401 Whispering Oaks Dr, Austin, TX 78745",2,4,1706,2594,zillow.com/homedetails/7401-Whispering-Oaks-Dr-Austin-TX-78745/29493740_zpid/
2650,78745,UT Austin,6.58 miles,"6101 Glen Meadow Dr, Austin, TX 78745",2,4,1400,2500,zillow.com/homedetails/6101-Glen-Meadow-Dr-Austin-TX-78745/29492667_zpid/
2800,78757,UT Austin,4.66 miles,"7905 Brockman St, Austin, TX 78757",2,4,1541,2997,zillow.com/homedetails/7905-Brockman-St-Austin-TX-78757/29423046_zpid/
2195,78725,UT Austin,9.45 miles,"3407 Barksdale Dr, Austin, TX 78725",2,4,2093,2124,zillow.com/homedetails/3407-Barksdale-Dr-Austin-TX-78725/70345688_zpid/
2395,78741,UT Austin,4.18 miles,"2003 Kirksey Dr #B, Austin, TX 78741",2,4,1350,1463,zillow.com/homedetails/2003-Kirksey-Dr-B-Austin-TX-78741/2101887053_zpid/
2200,78729,UT Austin,12.58 miles,"13406 Effingham St, Austin, TX 78729",2,4,1724,2350,zillow.com/homedetails/13406-Effingham-St-Austin-TX-78729/29555531_zpid/
4500,78705,UT Austin,0.92 miles,"1205 W 22nd 1/2 St #1, Austin, TX 78705",2,4,1635,3929,zillow.com/homedetails/1205-W-22nd-1-2-St-1-Austin-TX-78705/2104364091_zpid/
3000,78749,UT Austin,8.86 miles,"7717 Ponoma Trl, Austin, TX 78749",2,4,2077,2997,zillow.com/homedetails/7717-Ponoma-Trl-Austin-TX-78749/29486699_zpid/
2995,78749,UT Austin,9.83 miles,"6405 Dunsmere Ct, Austin, TX 78749",2,4,2109,2955,zillow.com/homedetails/6405-Dunsmere-Ct-Austin-TX-78749/29487281_zpid/
3300,78739,UT Austin,12.37 miles,"5213 Cornflower Dr, Austin, TX 78739",2,4,2066,3095,zillow.com/homedetails/5213-Cornflower-Dr-Austin-TX-78739/125804894_zpid/
2800,78749,UT Austin,8.67 miles,"3809 Leafield Dr, Austin, TX 78749",2,4,1590,2475,zillow.com/homedetails/3809-Leafield-Dr-Austin-TX-78749/29494042_zpid/
2245,78754,UT Austin,7.63 miles,"1436 Biscuit Dr, Austin, TX 78754",2,4,1685,2294,zillow.com/homedetails/1436-Biscuit-Dr-Austin-TX-78754/119622767_zpid/
2185,78723,UT Austin,3.63 miles,"2100 Fordham Cv, Austin, TX 78723",2,4,1476,2600,zillow.com/homedetails/2100-Fordham-Cv-Austin-TX-78723/29410049_zpid/
3995,78702,UT Austin,1.87 miles,"2917 E 16th St, Austin, TX 78702",2,4,2214,3869,zillow.com/homedetails/2917-E-16th-St-Austin-TX-78702/64654557_zpid/
4795,78705,UT Austin,0.35 miles,"209 E 31st St, Austin, TX 78705",2,4,1402,3176,zillow.com/homedetails/209-E-31st-St-Austin-TX-78705/29397456_zpid/
