Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
950,78758,UT Austin,6.02,"1200 Mearns Meadow Blvd, Austin, TX",1,1,,30.370842,-97.70184,zillow.com/apartments/austin-tx/ascent-at-quail-creek/5Xht9p/
1536,78745,UT Austin,7.86,"7731 Menchaca Rd, Austin, TX",1,1,,30.194897,-97.81044,zillow.com/apartments/austin-tx/perch/Btsj4b/
1192,78745,UT Austin,6.51,"401 Little Texas Ln, Austin, TX",1,1,,30.20007,-97.77253,zillow.com/apartments/austin-tx/avana-soco/5Xht7x/
2640,78702,UT Austin,2.36,"1512 Holly St FLOOR 4-ID71, Austin, TX 78702",1,1,688,30.25524,-97.73056,zillow.com/homedetails/1512-Holly-St-FLOOR-4-ID71-Austin-TX-78702/2063064700_zpid/
1480,78741,UT Austin,5.19,"2511 Montopolis Dr, Austin, TX",1,1,,30.218279,-97.70717,zillow.com/apartments/austin-tx/the-monroe/9LSQZn/
1374,78758,UT Austin,7.62,"3001 Esperanza Xing, Austin, TX",1,1,,30.398647,-97.722084,zillow.com/apartments/austin-tx/griffis-at-the-domain/5Xht35/
1419,78751,UT Austin,2.33,"5400 N Lamar Blvd, Austin, TX",1,1,,30.322506,-97.73117,zillow.com/b/camden-lamar-heights-austin-tx-9jxmYs/
1382,78744,UT Austin,7.63,"7301 S Interstate Highway 35 Svrd Nb, Austin, TX",1,1,,30.183514,-97.77416,zillow.com/b/the-bennett-austin-tx-CbCdZW/
1450,78748,UT Austin,10.03,"10400 Old Manchaca Rd, Austin, TX",1,1,,30.168966,-97.83098,zillow.com/apartments/austin-tx/casata-austin/9LSmLB/
998,78729,UT Austin,12.07,"9811 Copper Creek Dr, Austin, TX",1,1,,30.45797,-97.78799,zillow.com/apartments/austin-tx/tides-on-copper-creek/5Xht5D/
1749,78724,UT Austin,6.11,"8101 Loyola Ln, Austin, TX",1,1,,30.293488,-97.63414,zillow.com/apartments/austin-tx/bluestem-at-loyola/C4dxDm/
1825,78758,UT Austin,6.02,"9127 Research Blvd, Austin, TX",1,1,,30.376022,-97.72927,zillow.com/apartments/austin-tx/presidium-waterford/C8g9Qn/
1952,78759,UT Austin,7.38,"10801 N Mopac Expy, Austin, TX",1,1,,30.395721,-97.731544,zillow.com/apartments/austin-tx/alexan-braker-pointe/9T5kw7/
1458,78723,UT Austin,3.76,"5521 Springdale Rd, Austin, TX",1,1,,30.298279,-97.67439,zillow.com/apartments/austin-tx/the-banks-of-springdale/BPWJ4w/
1574,78745,UT Austin,8.29,"8200 S Congress Ave, Austin, TX",1,1,,30.176832,-97.785774,zillow.com/apartments/austin-tx/the-prescott/9T5g69/
1554,78744,UT Austin,5.6,"7205 E Ben White Blvd, Austin, TX",1,1,,30.215166,-97.69798,zillow.com/apartments/austin-tx/veranda/CHvW64/
