Price,LivingArea,Distance to the university,Address,My university,Rent_estimate,Bathrooms,Bedrooms
1800,1089,8.93 miles,"1310 W Parmer Ln APT 2201, Austin, TX 78727",UT Austin,1379,2,2
1810,1197,6.37 miles,"Pointe 360, 6804 N Capital Of Texas Hwy APT 311, Austin, TX 78731",UT Austin,2132,2,2
1850,866,8.8 miles,"730 Yarsa Blvd #B, Austin, TX 78748",UT Austin,,2,2
1850,1150,6.75 miles,"1207 S Trace Dr, Austin, TX 78745",UT Austin,2299,2,2
1870,965,5.01 miles,"Delco Flats, 7601 Springdale Rd #3310, Austin, TX 78724",UT Austin,1800,2,2
1895,1150,4.01 miles,"1804 Cinnamon Path, 1804 Cinnamon Path #B, Austin, TX 78704",UT Austin,2410,2,2
1900,891,0.79 miles,"2408 Leon St APT 315, Austin, TX 78705",UT Austin,1898,2,2
1950,1000,9.67 miles,"8104 Mescalero Dr, Austin, TX 78736",UT Austin,1949,2,2
1966,1206,11.3 miles,"Onion Creek Luxury Apartments, 10701 Interstate Hwy #2115, Austin, TX 78747",UT Austin,1966,2,2
1985,1158,11.41 miles,"Alister Oak Hill, 8800 W Us Highway 290 #9-0931, Austin, TX 78736",UT Austin,1898,2,2
2000,829,0.8 miles,"2207 Leon St APT 101, Austin, TX 78705",UT Austin,1794,2,2
2079,1105,6.49 miles,"Bexley SoCo, 6001 S Congress Ave #2201, Austin, TX 78745",UT Austin,2317,2,2
2095,1200,3.74 miles,"1720 Justin Ln #B, Austin, TX 78757",UT Austin,3862,2,2
2150,942,3.88 miles,"1741 Spyglass Dr #2-202, Austin, TX 78746",UT Austin,2267,2,2
2150,1350,12.58 miles,"11733 Lago De Garda Dr, Austin, TX 78747",UT Austin,2199,2,2
2200,1000,4.51 miles,"404 Cherry Hill Dr, Austin, TX 78704",UT Austin,2294,2,2
2200,1081,5.19 miles,"4361 S Congress Ave, Austin, TX 78745",UT Austin,1999,2,2
2300,1001,1.93 miles,"Waller Creekside, 105 W 51st St APT 5201, Austin, TX 78751",UT Austin,,2,2
2350,1000,3.46 miles,"5326 Balcones Dr APT B, Austin, TX 78731",UT Austin,2250,2,2
2400,850,2.33 miles,"716 Pedernales St, Austin, TX 78702",UT Austin,,2,2
2420,1062,4.71 miles,"6108 E Riverside Dr FLOOR 4-ID76, Austin, TX 78741",UT Austin,2261,2,2
2475,1095,0.56 miles,"30th Street Townhomes, 501 W 30th St #A1A, Austin, TX 78705",UT Austin,,2,2
2500,972,3.72 miles,"5711 Tura Ln #2, Austin, TX 78721",UT Austin,2820,2,2
2500,1100,4.91 miles,"4025 Valley View Rd #2, Austin, TX 78704",UT Austin,2201,2,2
2550,1230,7.69 miles,"11310 Domain Dr FLOOR 1-ID204, Austin, TX 78758",UT Austin,,2,2
2595,1178,3.75 miles,"2606 Wilson St APT 201, Austin, TX 78704",UT Austin,3194,2,2
2600,994,6.87 miles,"9605 Research Blvd FLOOR 3-ID126, Austin, TX 78759",UT Austin,2256,2,2
2602,1134,2.84 miles,"Burnet Flats, 5453 Burnet Rd APT 321, Austin, TX 78756",UT Austin,2402,2,2
2635,1007,1.36 miles,"Eleven by Windsor, 811 E 11th St APT 161, Austin, TX 78702",UT Austin,2725,2,2
2800,1204,2.67 miles,"2709 E 5th St #2306, Austin, TX 78702",UT Austin,2709,2,2
2800,1385,4.87 miles,"4120 Valley View Rd #B, Austin, TX 78704",UT Austin,2995,2,2
2900,1065,9.57 miles,"12809 Tomanet Trl BUILDING B, Austin, TX 78727",UT Austin,1598,2,2
2921,1256,0.78 miles,"Aura Thirty2, 3233 Harmon Ave, Austin, TX 78705",UT Austin,3262,2,2
3046,1283,3.82 miles,"AVE Austin North Lamar, 7400 N Lamar Blvd #2505, Austin, TX 78752",UT Austin,2964,2,2
3090,1170,1.86 miles,"4700 W Guadalupe St FLOOR 4-ID12, Austin, TX 78751",UT Austin,2493,2,2
3095,959,2.2 miles,"1204 W 51st St, Austin, TX 78756",UT Austin,2600,2,2
3200,1126,1.54 miles,"820 E 45th 1/2 St, Austin, TX 78751",UT Austin,2894,2,2
3370,1083,1.98 miles,"1830 Simond Ave FLOOR 2-ID88, Austin, TX 78723",UT Austin,,2,2
3610,1098,3.04 miles,"6419 Airport Blvd FLOOR 4-ID200, Austin, TX 78752",UT Austin,,2,2
4000,1013,2.72 miles,"2619 E 3rd St, Austin, TX 78702",UT Austin,2725,2,2
4990,1345,1.75 miles,"242 W 2nd St FLOOR 8-ID11, Austin, TX 78701",UT Austin,4344,2,2
5995,1228,2.3 miles,"44 East Ave #3105, Austin, TX 78701",UT Austin,6085,2,2
