Price,Zip,My university,Distance to the university,Address,Bathrooms,Bedrooms,LivingArea,Rent_estimate,DetailURL,pred_price
1199,78741,UT Austin,4.73,"Polaris on the Park, 1720 Woodward St #1718-110, Austin, TX 78741",1,1,720,,zillow.com/apartments/austin-tx/polaris-on-the-park/5Xht6J/,1673.95
2250,78701,UT Austin,1.72,"621 E 3rd St FLOOR 1-ID208, Austin, TX 78701",1,1,535,,zillow.com/homedetails/621-E-3rd-St-FLOOR-1-ID208-Austin-TX-78701/2055189319_zpid/,2066.33
1335,78751,UT Austin,2.55,"Hidden Gardens Apartments, 5606 N Lamar Blvd APT 112, Austin, TX 78751",1,1,830,1835.0,zillow.com/b/hidden-gardens-apartments-austin-tx-5Xht4j/,1780.3066666666666
2200,78722,UT Austin,1.01,"2213 Poquito St UNIT 303, Austin, TX 78722",1,1,880,2500.0,zillow.com/homedetails/2213-Poquito-St-UNIT-303-Austin-TX-78722/305429040_zpid/,2029.87
3320,78701,UT Austin,1.65,"400 San Jacinto Blvd FLOOR 9-ID21, Austin, TX 78701",1,1,776,2889.0,zillow.com/homedetails/400-San-Jacinto-Blvd-FLOOR-9-ID21-Austin-TX-78701/2057406760_zpid/,2986.15
3200,78702,UT Austin,2.8 ,"2512 Canterbury St, Austin, TX 78702",1,1,750,2605.0,zillow.com/homedetails/2512-Canterbury-St-Austin-TX-78702/29381612_zpid/,2843.36
3315,78702,UT Austin,1.96,"Sentral East Austin at 1630 E. Sixth, 1630 E 6th St #1427, Austin, TX 78702",1,1,450,1825.0,zillow.com/apartments/austin-tx/sentral-east-austin-at-1630-e.-sixth/BKB5P5/,2647.4
1519,78748,UT Austin,10.4,"Bridge at Asher, 10505 S Interstate Highway 35 Frontage Rd #1417, Austin, TX 78748",1,1,798,,zillow.com/b/bridge-at-asher-austin-tx-BsLQPV/,1481.555
1060,78757,UT Austin,4.39,"Anderson Flats, 1220 W Anderson Ln APT 102, Austin, TX 78757",1,1,620,,zillow.com/apartments/austin-tx/anderson-flats/5Z7VYG/,1167.3
1720,78746,UT Austin,4.08,"MAA Barton Creek, 2001 S Mo Pac Expy APT 2425, Austin, TX 78746",1,1,837,1994.0,zillow.com/b/maa-barton-creek-austin-tx-5YwJty/,1734.1666666666665
1670,78746,UT Austin,4.08,"MAA Barton Creek, 2001 S Mopac Expy #2023, Austin, TX 78746",1,1,837,1994.0,zillow.com/apartments/austin-tx/maa-barton-creek/B73xvX/,1734.1666666666665
1100,78745,UT Austin,6.81,"711 Eberhart Ln APT 107, Austin, TX 78745",1,1,576,,zillow.com/homedetails/711-Eberhart-Ln-APT-107-Austin-TX-78745/2055250777_zpid/,1129.61
1250,78705,UT Austin,0.46,"Cedar 31, 3008 Cedar St #1, Austin, TX 78705",1,1,515,1278.0,zillow.com/b/cedar-31-austin-tx-5XnBzL/,1277.67
2110,78722,UT Austin,1.38,"2701 Manor Rd FLOOR 4-ID164, Austin, TX 78722",1,1,572,1455.0,zillow.com/homedetails/2701-Manor-Rd-FLOOR-4-ID164-Austin-TX-78722/2060314169_zpid/,1612.25
1237,78753,UT Austin,5.76,"Villas de la Plaza, 9601 Middle Fiskville Rd #E2, Austin, TX 78753",1,1,650,1183.0,zillow.com/apartments/austin-tx/villas-de-la-plaza/5Xht72/,1310.17
3200,78702,UT Austin,2.81,"2514 Canterbury St, Austin, TX 78702",1,1,715,2605.0,zillow.com/homedetails/2514-Canterbury-St-Austin-TX-78702/29381611_zpid/,2519.48
1800,78704,UT Austin,3.97,"2200 Dickson Dr APT 231, Austin, TX 78704",1,1,640,1800.0,zillow.com/homedetails/2200-Dickson-Dr-APT-231-Austin-TX-78704/89547965_zpid/,1937.34
1742,78749,UT Austin,8.97,"Alexan Garza Ranch, 4009 Sabio Dr #426, Austin, TX 78749",1,1,824,,zillow.com/b/alexan-garza-ranch-austin-tx-BPGcDV/,1654.3906666666664
1490,78703,UT Austin,1.42,"1714 Summit Vw #3, Austin, TX 78703",1,1,505,1300.0,zillow.com/homedetails/1714-Summit-Vw-3-Austin-TX-78703/29331471_zpid/,1615.75
1000,78704,UT Austin,4.25,"513 S Park Dr APT 302, Austin, TX 78704",1,1,450,1370.0,zillow.com/homedetails/513-S-Park-Dr-APT-302-Austin-TX-78704/2130061512_zpid/,1149.01
1470,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 325, Austin, TX 78731",1,1,785,1419.0,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-325-Austin-TX-78731/251031698_zpid/,1426.2477272727272
1470,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 428, Austin, TX 78731",1,1,785,1419.0,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-428-Austin-TX-78731/251028689_zpid/,1426.2477272727272
1470,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 228, Austin, TX 78731",1,1,785,1440.0,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-228-Austin-TX-78731/251031696_zpid/,1426.2477272727272
1380,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 825, Austin, TX 78731",1,1,785,1432.0,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-825-Austin-TX-78731/251031703_zpid/,1426.2477272727272
