Price,Zip,My university,Distance to the university (in miles),Address,Bathrooms,Bedrooms,LivingArea,Latitude,Longitude,DetailURL
1519,78748,UT Austin,10.41,"Bridge at Asher, 10505 S Interstate Highway 35 Frontage Rd #1417, Austin, TX 78748",1,1,798,30.1457,-97.79002,zillow.com/b/bridge-at-asher-austin-tx-BsLQPV/
1060,78757,UT Austin,4.39,"Anderson Flats, 1220 W Anderson Ln APT 102, Austin, TX 78757",1,1,620,30.350525,-97.71783,zillow.com/apartments/austin-tx/anderson-flats/5Z7VYG/
1740,78746,UT Austin,4.08,"MAA Barton Creek, 2001 S Mo Pac Expy APT 2425, Austin, TX 78746",1,1,837,30.258158,-97.79484,zillow.com/b/maa-barton-creek-austin-tx-5YwJty/
1690,78746,UT Austin,4.08,"MAA Barton Creek, 2001 S Mopac Expy #2023, Austin, TX 78746",1,1,837,30.258158,-97.79484,zillow.com/apartments/austin-tx/maa-barton-creek/B73xvX/
1250,78705,UT Austin,0.46,"Cedar 31, 3008 Cedar St #1, Austin, TX 78705",1,1,515,30.295488,-97.738335,zillow.com/b/cedar-31-austin-tx-5XnBzL/
2110,78722,UT Austin,1.38,"2701 Manor Rd FLOOR 4-ID164, Austin, TX 78722",1,1,572,30.284746,-97.71395,zillow.com/homedetails/2701-Manor-Rd-FLOOR-4-ID164-Austin-TX-78722/2060314169_zpid/
1237,78753,UT Austin,5.76,"Villas de la Plaza, 9601 Middle Fiskville Rd #E2, Austin, TX 78753",1,1,650,30.359137,-97.68427,zillow.com/apartments/austin-tx/villas-de-la-plaza/5Xht72/
3200,78702,UT Austin,2.81,"2514 Canterbury St, Austin, TX 78702",1,1,715,30.2524,-97.71629,zillow.com/homedetails/2514-Canterbury-St-Austin-TX-78702/29381611_zpid/
1800,78704,UT Austin,3.97,"2200 Dickson Dr APT 231, Austin, TX 78704",1,1,640,30.246082,-97.78059,zillow.com/homedetails/2200-Dickson-Dr-APT-231-Austin-TX-78704/89547965_zpid/
1742,78749,UT Austin,8.97,"Alexan Garza Ranch, 4009 Sabio Dr #426, Austin, TX 78749",1,1,824,30.2143,-97.8594,zillow.com/b/alexan-garza-ranch-austin-tx-BPGcDV/
1490,78703,UT Austin,1.42,"1714 Summit Vw #3, Austin, TX 78703",1,1,505,30.284933,-97.75984,zillow.com/homedetails/1714-Summit-Vw-3-Austin-TX-78703/29331471_zpid/
1000,78704,UT Austin,4.25,"513 S Park Dr APT 302, Austin, TX 78704",1,1,450,30.232718,-97.76496,zillow.com/homedetails/513-S-Park-Dr-APT-302-Austin-TX-78704/2130061512_zpid/
1470,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 325, Austin, TX 78731",1,1,785,30.36968,-97.7884,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-325-Austin-TX-78731/251031698_zpid/
1470,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 428, Austin, TX 78731",1,1,785,30.36968,-97.7884,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-428-Austin-TX-78731/251028689_zpid/
1470,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 228, Austin, TX 78731",1,1,785,30.36968,-97.7884,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-228-Austin-TX-78731/251031696_zpid/
1380,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 825, Austin, TX 78731",1,1,785,30.36968,-97.7884,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-825-Austin-TX-78731/251031703_zpid/
1420,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 627, Austin, TX 78731",1,1,753,30.36968,-97.7884,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-627-Austin-TX-78731/251033567_zpid/
1380,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 121, Austin, TX 78731",1,1,785,30.36968,-97.7884,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-121-Austin-TX-78731/251032174_zpid/
1380,78731,UT Austin,6.37,"Pointe 360, 6804 N Capital Of Texas Hwy APT 728, Austin, TX 78731",1,1,785,30.36968,-97.7884,zillow.com/homedetails/6804-N-Capital-Of-Texas-Hwy-APT-728-Austin-TX-78731/251030581_zpid/
1460,78724,UT Austin,6.06,"High Point Preserve, 9301 E Us Highway 290 #1414, Austin, TX 78724",1,1,660,30.328205,-97.645615,zillow.com/apartments/austin-tx/high-point-preserve/C5cgxZ/
1300,78702,UT Austin,2.89,"500 Tillery St, Austin, TX 78702",1,1,510,30.25574,-97.707184,zillow.com/homedetails/500-Tillery-St-Austin-TX-78702/29383439_zpid/
4029,78704,UT Austin,2.31,"1155 Barton Springs, 1155 Barton Springs Rd #413, Austin, TX 78704",1,1,873,30.260288,-97.75626,zillow.com/apartments/austin-tx/1155-barton-springs/B6n7qp/
2140,78702,UT Austin,2.23,"2823 E Martin Luther King Jr Blvd #3-ID155, Austin, TX 78702",1,1,755,30.26311,-97.71439,zillow.com/homedetails/2823-E-Martin-Luther-King-Jr-Blvd-3-ID155-Austin-TX-78702/2060608490_zpid/
1699,78705,UT Austin,0.63,"916 E 32nd St #103-916-10, Austin, TX 78705",1,1,787,30.29088,-97.72607,zillow.com/homedetails/916-E-32nd-St-103-916-10-Austin-TX-78705/2055315240_zpid/
950,78745,UT Austin,6.1,"5303 Saint Georges Green, 5303 Saint Georges Grn APT B, Austin, TX 78745",1,1,616,30.215212,-97.79263,zillow.com/b/5303-saint-georges-green-austin-tx-5jCZmT/
2510,78723,UT Austin,1.98,"1830 Simond Ave FLOOR 3-ID34, Austin, TX 78723",1,1,730,30.297585,-97.70489,zillow.com/homedetails/1830-Simond-Ave-FLOOR-3-ID34-Austin-TX-78723/2055330577_zpid/
1465,78735,UT Austin,9.57,"Callista Hill Country Apartments, 8600 W Highway 71 APT 322, Austin, TX 78735",1,1,983,30.25367,-97.89152,zillow.com/apartments/austin-tx/8600-w-hwy-71-w/9h4rw3/
1395,78753,UT Austin,8.37,"1015 E Yager Ln UNIT 217, Austin, TX 78753",1,1,565,30.391108,-97.66095,zillow.com/homedetails/1015-E-Yager-Ln-UNIT-217-Austin-TX-78753/29435536_zpid/
999,78741,UT Austin,3.25,"Parker Heights, 1302 Parker Ln APT 115, Austin, TX 78741",1,1,614,30.242237,-97.731026,zillow.com/apartments/austin-tx/parker-heights/5jCZb6/
4200,78701,UT Austin,1.63,"555 E 5th St APT 723, Austin, TX 78701",1,1,1144,30.265541,-97.73801,zillow.com/homedetails/555-E-5th-St-APT-723-Austin-TX-78701/64894633_zpid/
1265,78705,UT Austin,0.55,"2818 Nueces St #103, Austin, TX 78705",1,1,550,30.294678,-97.74294,zillow.com/homedetails/2818-Nueces-St-103-Austin-TX-78705/2056457032_zpid/
2090,78756,UT Austin,2.86,"1112 W Koenig Ln FLOOR 3-ID162, Austin, TX 78756",1,1,605,30.32997,-97.72903,zillow.com/homedetails/1112-W-Koenig-Ln-FLOOR-3-ID162-Austin-TX-78756/2060426884_zpid/
1300,78741,UT Austin,4.79,"3207 Burleson Road, 3207 Burleson Rd APT 1, Austin, TX 78741",1,1,400,30.21981,-97.73308,zillow.com/b/3207-burleson-road-austin-tx-9tjdJz/
1675,78701,UT Austin,0.66,"Greenwood Towers 302 N/M, 1800 Lavaca St, Austin, TX 78701",1,1,608,30.280386,-97.74101,zillow.com/homedetails/1800-Lavaca-St-Austin-TX-78701/2077190839_zpid/
1125,78705,UT Austin,0.46,"Mark Embers, 3106 Speedway Mkea #102, Austin, TX 78705",1,1,550,30.295689,-97.736984,zillow.com/b/mark-embers-austin-tx-C6b2qJ/
